,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1052,mic-3_seal_chirp,1250.0,55.589,57.716,59.341,56.484,57.818,55.928,55.411,55.769,58.749,58.393,55.691,55.557,56.297,55.802,56.558,55.941,57.677,55.818,57.304,58.672
1053,mic-3_seal_chirp,1320.0,56.009,53.577,54.839,56.353,56.485,56.152,58.27,58.546,57.136,53.579,55.88,54.708,54.968,55.571,55.33,52.878,53.567,55.989,55.053,54.592
1054,mic-3_seal_chirp,1400.0,55.468,55.719,57.835,54.536,56.908,54.874,56.116,52.637,53.628,56.306,54.643,54.498,56.045,52.572,55.674,56.021,57.978,57.624,55.337,55.643
1055,mic-3_seal_chirp,1500.0,57.741,57.246,54.816,56.013,54.345,55.768,54.75,54.749,56.734,55.045,56.144,56.844,56.084,56.397,56.487,53.792,56.457,56.369,55.422,56.652
1056,mic-3_seal_chirp,1600.0,56.411,56.67,54.592,53.998,56.538,55.077,55.779,54.574,54.61,58.168,58.622,55.546,55.267,57.971,57.309,56.024,56.78,55.961,56.108,57.033
1057,mic-3_seal_chirp,1700.0,55.724,56.038,55.537,54.626,56.874,54.506,55.042,56.698,56.894,57.798,57.327,57.737,58.913,58.96,61.836,59.83,58.179,57.792,58.956,56.433
1058,mic-3_seal_chirp,1800.0,53.19,55.459,54.857,55.655,54.986,55.553,54.661,57.383,59.754,58.009,61.763,57.813,61.137,60.954,62.656,60.205,58.279,60.997,59.049,55.7
1059,mic-3_seal_chirp,1900.0,54.042,52.357,54.3,57.457,56.351,53.93,53.709,53.21,54.182,54.44,56.039,58.124,56.788,55.654,59.113,56.861,57.935,57.558,55.578,56.714
1060,mic-3_seal_chirp,2000.0,55.083,56.692,51.708,54.787,53.866,56.051,53.997,53.423,53.486,57.474,53.558,54.609,56.629,58.643,57.27,57.446,58.149,58.95,60.099,56.705
1061,mic-3_seal_chirp,2120.0,64.232,57.617,57.818,59.425,60.573,59.246,61.244,57.59,55.394,58.442,58.473,58.368,57.707,58.738,59.953,64.204,58.253,58.261,57.926,57.273
1062,mic-3_seal_chirp,2240.0,65.936,60.91,62.336,60.337,60.689,61.485,60.627,59.387,63.579,58.251,60.615,59.853,63.89,62.68,62.966,60.273,61.204,60.739,65.235,61.322
1063,mic-3_seal_chirp,2360.0,60.392,56.546,60.681,59.173,62.26,56.838,62.653,60.887,59.704,60.419,58.258,61.216,61.828,61.504,61.774,59.118,61.143,63.645,60.768,64.173
1064,mic-3_seal_chirp,2500.0,60.085,60.855,64.535,59.322,60.933,61.104,57.755,59.134,58.162,62.353,62.992,57.031,57.341,61.213,61.13,58.753,58.732,62.018,59.522,59.919
1065,mic-3_seal_chirp,2650.0,59.172,62.574,62.26,60.146,59.09,59.641,61.048,61.139,55.262,58.666,59.965,61.592,60.352,59.439,59.273,59.884,57.734,59.192,60.126,58.666
1066,mic-3_seal_chirp,2800.0,56.808,60.121,58.423,61.051,56.678,57.02,55.833,60.175,57.177,59.047,58.127,56.146,56.347,56.92,58.534,57.517,60.587,56.087,58.301,58.237
1067,mic-3_seal_chirp,3000.0,60.254,58.61,59.786,62.505,55.574,58.137,61.119,58.516,62.449,63.109,60.653,57.011,53.881,57.885,56.855,57.107,58.502,55.345,57.91,56.877
1068,mic-3_seal_chirp,3150.0,61.516,60.337,59.725,65.531,60.426,64.62,60.548,57.038,60.882,60.528,60.368,59.48,55.607,61.122,58.812,58.577,55.314,59.33,59.411,56.598
1069,mic-3_seal_chirp,3350.0,61.617,59.484,60.95,60.955,56.799,61.26,61.643,58.209,61.017,58.489,57.958,56.912,58.499,55.764,55.903,59.904,56.566,60.066,56.982,60.912
1070,mic-3_seal_chirp,3550.0,57.006,58.437,62.512,55.555,57.533,59.099,57.784,58.141,58.967,57.582,58.582,55.95,56.915,60.816,54.17,57.17,56.994,61.022,58.146,58.556
1071,mic-3_seal_chirp,3750.0,56.904,57.87,55.621,53.825,54.46,54.979,54.95,54.824,53.927,56.797,59.267,53.175,53.864,56.369,53.972,58.976,54.022,54.931,58.107,55.12
1072,mic-3_seal_chirp,4000.0,53.928,58.069,57.377,54.894,56.607,54.771,59.183,56.527,58.041,58.455,63.948,57.312,56.432,57.194,57.66,56.404,55.568,57.038,58.866,55.601
1073,mic-3_seal_chirp,4250.0,61.642,59.235,59.154,60.264,60.57,60.241,60.325,57.592,57.755,57.405,58.27,57.303,60.315,55.334,57.648,60.758,58.864,60.819,63.71,58.277
1074,mic-3_seal_chirp,4500.0,54.528,57.852,58.715,52.674,55.871,58.437,55.466,55.219,58.647,54.772,60.493,59.179,57.383,57.772,57.189,57.56,56.996,57.349,58.292,56.184
1075,mic-3_seal_chirp,4750.0,60.231,59.51,62.727,63.869,62.782,61.106,58.788,57.777,61.288,59.301,62.844,60.297,58.619,62.127,60.985,57.18,60.269,62.614,60.744,61.046
1076,mic-3_seal_chirp,5000.0,59.202,55.787,56.361,54.856,56.584,60.839,56.375,56.42,56.485,53.858,58.88,56.344,58.245,56.089,54.426,56.808,55.592,55.463,57.186,57.843
1077,mic-3_seal_chirp,5300.0,55.4,56.95,58.641,57.079,57.758,57.73,56.065,55.853,59.89,56.722,57.257,57.742,61.501,59.041,57.415,54.993,58.014,56.353,55.407,60.524
1078,mic-3_seal_chirp,5600.0,54.121,60.49,55.226,55.78,57.006,61.568,60.021,58.261,57.695,53.174,59.808,58.621,62.322,55.629,58.316,57.582,59.589,60.46,60.704,58.999
1079,mic-3_seal_chirp,6000.0,57.163,60.393,58.176,56.9,58.55,56.914,61.683,59.063,62.428,60.524,59.505,58.569,59.605,58.604,58.161,62.835,67.183,63.828,59.475,58.319
1080,mic-3_seal_chirp,6300.0,60.228,58.751,57.394,59.377,59.001,59.862,57.207,58.866,62.053,61.093,59.302,64.249,55.24,62.685,58.36,62.281,59.877,59.32,55.566,58.227
1081,mic-3_seal_chirp,6700.0,58.755,56.693,62.276,58.824,65.295,65.209,64.389,62.421,58.215,61.085,58.99,59.991,65.065,57.975,62.557,58.432,62.41,61.03,60.243,59.396
