,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
774,mic-3_fr,850.0,-37.542,-37.532,-37.536,-37.539,-37.544,-37.538,-37.534,-37.531,-37.537,-37.533,-38.164,-38.155,-38.163,-38.168,-38.166,-38.17,-38.168,-38.167,-38.174,-38.171
775,mic-3_fr,900.0,-37.555,-37.543,-37.546,-37.547,-37.55,-37.546,-37.541,-37.54,-37.544,-37.541,-38.226,-38.218,-38.227,-38.231,-38.23,-38.235,-38.235,-38.235,-38.235,-38.234
776,mic-3_fr,950.0,-37.524,-37.509,-37.511,-37.514,-37.517,-37.511,-37.505,-37.505,-37.508,-37.506,-38.251,-38.246,-38.252,-38.256,-38.256,-38.261,-38.261,-38.26,-38.262,-38.261
777,mic-3_fr,1000.0,-37.486,-37.473,-37.476,-37.48,-37.483,-37.479,-37.474,-37.475,-37.477,-37.475,-38.241,-38.235,-38.241,-38.247,-38.247,-38.25,-38.252,-38.25,-38.251,-38.252
778,mic-3_fr,1060.0,-37.365,-37.353,-37.358,-37.36,-37.363,-37.361,-37.355,-37.354,-37.358,-37.357,-38.237,-38.23,-38.237,-38.242,-38.246,-38.246,-38.251,-38.249,-38.253,-38.249
779,mic-3_fr,1120.0,-37.181,-37.168,-37.174,-37.177,-37.184,-37.178,-37.172,-37.173,-37.175,-37.175,-38.211,-38.206,-38.218,-38.221,-38.226,-38.225,-38.228,-38.229,-38.229,-38.23
780,mic-3_fr,1180.0,-37.306,-37.295,-37.299,-37.3,-37.308,-37.303,-37.297,-37.297,-37.3,-37.299,-38.189,-38.185,-38.195,-38.199,-38.203,-38.203,-38.205,-38.206,-38.207,-38.205
781,mic-3_fr,1250.0,-37.302,-37.287,-37.291,-37.292,-37.297,-37.291,-37.288,-37.285,-37.288,-37.287,-38.187,-38.185,-38.191,-38.195,-38.199,-38.198,-38.2,-38.205,-38.205,-38.198
782,mic-3_fr,1320.0,-37.285,-37.274,-37.279,-37.28,-37.286,-37.28,-37.276,-37.275,-37.276,-37.279,-38.049,-38.05,-38.054,-38.058,-38.063,-38.06,-38.062,-38.066,-38.064,-38.064
783,mic-3_fr,1400.0,-37.434,-37.423,-37.43,-37.428,-37.434,-37.431,-37.425,-37.425,-37.426,-37.429,-38.227,-38.222,-38.229,-38.231,-38.238,-38.238,-38.239,-38.239,-38.241,-38.238
