7,5B031FDDX00004,58.262,57.969,59.571,60.436,63.059,65.645,68.291,68.694,71.507,75.932,80.927,87.197,88.626,94.121,101.022,104.365,102.659,101.134,110.541,103.22,93.171,73.919,70.268,58.206,48.137,42.42,35.797,31.818,32.588,25.888,23.228,18.625,20.495,16.054,16.257,12.762,8.72,6.177,5.178,4.445,4.288,5.136,6.228,5.632,4.53,3.936,3.477,3.731,4.972,6.217,5.046,3.495,2.249,1.134,0.693,0.581,0.647,0.786,1.75,3.001,3.948,4.299,3.821,2.651,1.924,1.763,1.632,2.209,2.349,2.502,3.23,1.867,0.587,0.287,1.659,1.879,4.226,4.243,2.536,1.414,2.919
8,5B031FDDX00004,58.448,57.047,58.489,59.939,67.853,64.54,68.122,69.967,73.243,79.894,79.848,85.83,86.883,94.655,101.585,102.005,101.053,107.864,109.204,102.746,94.428,79.627,64.566,53.871,45.549,38.239,35.598,31.163,29.549,27.341,24.804,22.968,18.203,16.025,16.921,12.882,9.367,6.324,4.857,4.23,4.201,5.053,5.996,5.884,4.603,3.975,3.522,3.698,4.973,6.168,5.016,3.347,2.218,1.083,0.683,0.556,0.653,0.817,1.805,3.002,3.885,4.365,3.809,2.643,1.921,1.746,1.651,2.352,2.331,2.468,3.235,1.785,0.551,0.296,1.598,1.873,4.723,4.327,2.532,1.47,2.617
9,5B031FDDX00004,56.535,58.434,59.14,62.477,64.518,65.707,66.099,70.47,73.414,71.675,84.15,85.001,93.715,94.729,109.218,105.232,97.479,106.437,104.439,103.959,82.565,76.931,64.904,55.912,44.674,42.285,35.021,33.359,32.202,28.834,23.73,20.832,20.437,17.912,16.906,12.687,9.371,6.234,4.988,4.343,4.273,5.201,5.877,5.909,4.794,4.024,3.505,3.712,4.93,6.25,5.046,3.491,2.159,1.122,0.697,0.558,0.66,0.806,1.752,3.035,3.921,4.225,3.76,2.652,1.918,1.749,1.672,2.295,2.318,2.482,3.172,1.773,0.551,0.304,1.602,1.939,4.675,4.274,1.983,1.491,2.599
10,5B031FDDX00004,57.153,58.23,58.275,60.827,63.449,65.087,66.425,69.413,75.843,76.533,77.078,86.884,88.301,89.892,108.04,105.377,105.346,104.189,110.582,93.504,88.839,76.791,62.023,56.111,51.751,40.753,35.881,34.185,31.737,25.736,24.72,22.546,19.878,18.047,16.957,12.076,9.137,6.03,5.037,4.139,4.195,4.906,5.951,5.779,4.469,4.02,3.5,3.677,4.881,6.186,5.108,3.434,2.211,1.144,0.71,0.577,0.618,0.773,1.715,2.999,3.85,4.306,3.784,2.646,1.918,1.743,1.644,2.367,2.339,2.435,3.218,1.783,0.552,0.32,1.599,1.903,4.752,4.34,2.489,1.498,2.66
11,5B031FDDX00004,56.837,58.643,56.481,62.342,65.706,66.117,66.243,67.616,71.55,77.204,84.791,79.306,86.387,88.504,97.155,104.484,97.281,100.216,102.763,102.776,89.225,80.14,64.628,56.726,46.186,41.324,36.869,31.241,28.681,25.82,23.792,16.805,19.813,16.714,15.49,12.795,9.295,6.095,4.873,4.144,4.211,4.969,5.993,5.777,4.625,3.923,3.548,3.654,4.964,6.186,5.093,3.477,2.201,1.097,0.704,0.6,0.646,0.76,1.799,2.958,3.859,4.293,3.821,2.648,1.915,1.742,1.678,2.296,2.336,2.447,3.15,1.778,0.541,0.316,1.575,1.917,4.751,4.269,2.615,1.494,2.643
12,5B031FDDX00004,55.105,56.683,55.898,61.061,61.152,63.204,65.837,65.974,72.927,77.457,77.69,79.696,81.038,90.874,93.352,96.985,101.558,97.53,93.863,101.669,91.236,82.401,74.984,67.679,59.357,45.822,43.443,35.256,35.404,30.807,27.668,23.534,22.065,17.367,16.972,13.974,9.73,7.084,5.644,4.905,4.786,5.463,5.814,5.182,4.324,3.949,3.616,3.819,5.065,6.059,4.815,3.308,2.079,1.087,0.666,0.546,0.648,0.734,1.746,3.037,4.083,4.232,3.624,2.56,2.103,1.815,1.667,2.186,2.474,2.299,3.139,1.898,0.754,0.302,1.489,1.794,4.228,4.309,2.12,1.959,2.596
13,5B031FDDX00004,53.094,53.845,53.507,58.145,61.664,61.759,63.71,67.38,70.319,73.075,78.012,76.258,80.902,88.627,96.297,95.001,97.31,103.473,106.965,99.127,92.598,82.929,72.042,66.041,58.525,47.48,41.944,35.369,31.938,30.544,25.348,24.501,21.369,19.033,16.986,13.399,9.964,6.99,5.565,4.803,4.709,5.491,6.052,5.334,4.462,3.877,3.581,3.848,5.122,6.056,4.892,3.268,2.055,1.098,0.7,0.538,0.645,0.724,1.69,2.907,4.16,4.242,3.636,2.561,2.102,1.812,1.641,2.189,2.475,2.309,2.999,1.765,0.647,0.346,1.514,1.785,4.298,4.317,2.331,1.882,2.399
14,5B031FDDX00004,52.077,54.166,55.731,58.663,62.545,65.387,66.255,68.622,71.522,73.783,76.583,80.816,79.964,92.268,94.082,98.375,99.205,97.632,100.366,95.918,91.61,81.546,72.076,66.379,59.325,48.569,39.695,36.169,33.378,30.76,27.487,22.788,21.302,20.039,15.789,13.828,9.404,6.87,5.469,4.697,4.705,5.527,5.941,5.197,4.438,3.942,3.608,3.765,4.96,5.928,4.793,3.303,2.046,1.111,0.686,0.553,0.669,0.753,1.711,2.904,4.028,4.168,3.582,2.54,2.083,1.802,1.647,2.172,2.436,2.253,2.903,1.79,0.683,0.364,1.471,1.887,4.43,4.384,2.396,1.904,2.445
15,5B031FDDX00004,52.062,53.326,54.945,59.063,60.842,64.506,65.329,68.935,74.973,72.947,77.066,79.605,80.783,91.861,93.626,94.579,98.169,105.209,108.001,97.966,90.266,85.569,75.629,65.328,57.448,46.437,39.947,36.929,31.782,29.75,29.184,24.603,21.217,18.564,16.636,12.994,9.601,6.638,5.391,4.65,4.66,5.376,6.097,5.521,4.389,3.938,3.543,3.759,5.064,5.968,4.81,3.279,2.034,1.093,0.718,0.568,0.675,0.668,1.673,2.839,4.065,4.173,3.626,2.543,2.081,1.804,1.678,2.184,2.43,2.271,3.043,1.766,0.694,0.321,1.639,1.805,4.461,4.455,2.691,1.806,2.419
16,5B031FDDX00004,51.952,53.749,53.834,58.214,61.227,61.664,66.291,68.394,72.842,73.152,76.457,75.845,83.885,90.253,94.292,99.659,101.962,97.205,105.292,96.682,94.65,81.659,72.904,65.744,61.873,46.143,40.571,35.001,31.055,31.417,28.067,23.155,20.444,20.399,16.847,13.233,9.638,6.717,5.258,4.873,4.727,5.336,5.792,5.476,4.321,3.918,3.618,3.773,4.973,6.089,4.797,3.287,2.018,1.099,0.696,0.554,0.674,0.706,1.68,2.897,4.069,4.228,3.572,2.525,2.078,1.798,1.665,2.195,2.428,2.238,2.943,1.743,0.693,0.311,1.371,1.869,4.5,4.395,2.704,1.873,2.393
17,5B031FDDX00004,53.257,54.597,55.517,60.067,62.185,62.21,65.568,68.431,69.385,69.508,76.045,81.321,84.862,90.838,97.944,93.996,94.408,100.771,102.664,97.739,91.109,87.043,74.827,63.854,54.64,48.321,36.274,37.417,33.625,33.152,26.883,25.655,20.875,19.475,16.368,13.478,9.808,6.81,5.573,4.72,4.668,5.28,5.942,5.392,4.491,3.897,3.543,3.783,5.072,6.033,4.794,3.328,2.076,1.091,0.715,0.547,0.655,0.682,1.756,2.876,3.987,4.194,3.619,2.527,2.088,1.806,1.685,2.268,2.497,2.228,3.006,1.815,0.784,0.312,1.431,1.732,4.37,4.27,2.696,1.801,2.29
18,5B031FDDX00004,58.984,59.335,60.092,61.625,63.628,65.503,64.083,72.196,73.274,78.856,84.846,87.431,92.306,96.723,97.982,103.828,110.255,103.382,110.261,101.062,90.195,77.839,68.106,58.507,42.766,42.574,34.591,33.543,35.278,28.008,24.285,19.567,21.396,17.269,15.435,11.797,9.385,6.566,5.47,4.674,4.607,5.685,6.337,5.332,4.551,3.899,3.576,3.93,5.33,6.321,5.141,3.452,2.025,1.139,0.691,0.505,0.679,0.954,1.624,3.009,3.748,4.218,3.615,2.639,2.299,1.673,1.518,1.982,2.236,2.666,2.979,2.112,0.659,0.196,2.049,1.831,3.315,3.479,3.008,1.469,2.669
19,5B031FDDX00004,57.139,60.259,60.966,62.92,61.689,65.145,70.653,72.144,74.513,80.563,82.263,82.103,94.581,91.152,101.735,108.783,102.093,104.398,109.38,95.06,92.229,78.089,67.93,57.393,46.077,40.61,37.416,32.868,32.271,31.362,23.826,22.459,18.958,18.069,16.145,11.995,8.877,6.589,5.503,4.533,4.71,5.632,6.291,5.702,4.661,3.764,3.608,3.974,5.39,6.319,5.119,3.463,2.044,1.126,0.687,0.518,0.64,0.926,1.605,2.974,3.695,4.242,3.581,2.636,2.288,1.67,1.507,1.99,2.189,2.552,2.974,2.062,0.63,0.162,1.918,1.887,3.349,3.653,2.98,1.701,2.575
20,5B031FDDX00004,58.585,59.613,60.471,61.535,66.098,65.271,66.545,70.524,74.371,74.195,81.042,88.266,87.154,95.994,99.092,106.849,107.498,100.725,112.613,89.366,90.18,75.655,64.199,57.381,47.306,42.14,38.024,31.883,30.309,24.882,25.312,22.033,19.502,17.595,15.778,12.595,8.993,6.501,5.414,4.47,4.572,5.611,6.026,5.766,4.492,3.703,3.606,3.92,5.351,6.288,5.122,3.461,2.018,1.137,0.685,0.534,0.658,0.901,1.686,2.954,3.647,4.127,3.544,2.627,2.285,1.656,1.496,1.981,2.165,2.542,2.904,2.034,0.658,0.192,1.773,1.779,3.498,3.717,3.001,1.736,2.557
21,5B031FDDX00004,57.612,59.063,59.107,63.426,62.533,63.598,68.605,70.561,74.171,75.303,72.513,88.793,92.634,94.471,104.443,106.607,108.49,98.463,110.351,97.815,89.295,77.95,66.581,56.747,45.199,42.238,38.591,33.147,31.427,28.06,23.338,21.1,19.186,17.426,14.732,12.431,8.744,6.562,5.522,4.461,4.607,5.601,5.979,5.652,4.536,3.825,3.57,3.916,5.349,6.27,5.138,3.506,2.026,1.116,0.734,0.556,0.661,0.955,1.609,2.917,3.628,4.151,3.569,2.638,2.279,1.663,1.512,2.045,2.19,2.512,2.961,2.062,0.676,0.198,1.68,1.748,3.62,3.74,3.056,1.764,2.52
22,5B031FDDX00004,55.851,58.347,58.949,63.086,64.707,63.114,64.06,68.853,74.759,76.119,78.895,90.114,90.18,94.767,107.334,109.6,104.603,103.004,108.309,96.228,83.173,75.934,63.689,57.093,50.46,41.596,36.735,33.72,30.932,27.665,25.275,20.855,18.715,16.649,16.089,11.56,8.765,6.256,5.24,4.371,4.671,5.401,6.198,5.546,4.559,3.789,3.602,3.917,5.319,6.262,5.208,3.444,1.992,1.136,0.686,0.511,0.658,0.844,1.594,2.87,3.625,4.116,3.545,2.616,2.273,1.656,1.512,2.062,2.186,2.483,2.922,2.004,0.667,0.239,1.776,1.788,3.629,3.852,3.066,1.762,2.383
23,5B031FDDX00004,58.185,59.3,59.257,61.896,62.99,67.58,68.636,71.593,65.663,80.751,79.771,84.505,88.468,101.483,96.807,107.137,104.024,99.803,108.468,98.295,87.599,80.227,61.456,54.522,48.475,41.176,36.074,33.034,28.725,27.79,24.482,23.645,20.685,16.903,15.126,12.685,9.096,6.236,5.49,4.425,4.479,5.484,6.084,5.683,4.491,3.853,3.577,3.935,5.33,6.237,5.117,3.406,2.051,1.133,0.681,0.517,0.659,0.874,1.626,2.834,3.561,4.155,3.526,2.621,2.27,1.651,1.513,2.064,2.173,2.457,2.899,2.005,0.668,0.254,1.733,1.799,3.775,3.832,3.096,1.788,2.349
24,5B031FDDX00004,55.786,57.259,58.124,61.354,65.811,61.982,65.301,68.186,73.761,71.11,76.632,77.306,86.01,94.697,94.46,94.735,96.544,102.737,100.924,103.23,91.189,77.204,66.76,59.346,48.326,44.836,37.81,33.26,31.652,31.647,25.663,21.741,21.698,19.486,16.928,12.112,9.415,6.427,5.13,4.41,4.514,5.07,5.87,5.435,4.048,3.431,3.124,3.597,5.114,6.092,4.915,3.452,2.281,1.225,0.728,0.598,0.723,0.877,1.81,3.037,3.441,3.943,3.54,2.38,1.949,1.768,1.6,2.019,2.477,2.175,2.49,1.85,0.829,0.27,1.904,2.26,4.144,3.395,3.102,1.729,2.329
25,5B031FDDX00004,55.894,58.086,59.063,60.54,59.558,65.56,65.728,68.601,74.669,76.177,76.817,80.706,86.179,87.904,96.349,90.946,102.36,99.842,103.875,101.988,90.476,80.036,67.655,54.552,51.642,45.646,34.972,31.709,30.981,29.217,25.29,18.994,17.765,20.721,15.387,13.049,9.065,6.542,5.211,4.441,4.257,5.291,5.947,5.245,4.148,3.484,3.139,3.615,5.018,6.043,4.944,3.449,2.239,1.197,0.741,0.584,0.716,0.89,1.836,2.945,3.481,3.985,3.515,2.381,1.944,1.772,1.615,2.033,2.416,2.188,2.449,1.842,0.834,0.287,1.803,2.177,4.103,3.326,3.212,1.684,2.381
26,5B031FDDX00004,55.92,56.849,58.421,60.304,62.355,67.445,63.36,68.665,75.805,75.808,77.493,80.981,87.134,89.763,88.974,95.916,101.399,106.466,109.347,97.893,84.778,76.52,70.669,60.363,49.611,41.272,36.889,32.524,30.638,27.671,27.785,21.618,20.06,19.144,15.352,13.466,9.363,6.595,5.115,4.549,4.392,5.195,5.727,5.265,4.02,3.444,3.195,3.545,5.01,5.989,4.968,3.465,2.308,1.198,0.721,0.592,0.72,0.91,1.813,2.949,3.425,3.914,3.541,2.372,1.944,1.778,1.599,2.022,2.488,2.163,2.5,1.862,0.844,0.272,1.892,2.166,3.874,2.671,3.206,1.723,2.311
27,5B031FDDX00004,56.969,56.74,57.338,61.834,62.177,63.61,65.347,69.045,71.491,75.455,78.48,80.712,84.937,90.958,95.985,91.821,101.324,104.672,107.5,96.917,84.307,77.316,67.654,56.697,47.863,42.334,34.867,33.464,30.449,27.633,25.554,21.785,19.789,19.326,16.356,13.356,8.985,6.623,5.276,4.458,4.409,5.158,5.675,5.194,4.111,3.48,3.171,3.601,4.972,6.137,4.965,3.432,2.306,1.195,0.751,0.578,0.734,0.856,1.874,2.904,3.413,3.893,3.521,2.374,1.94,1.764,1.548,2.015,2.49,2.139,2.373,1.798,0.832,0.264,1.624,2.192,4.001,2.797,3.331,1.697,2.555
28,5B031FDDX00004,57.476,57.586,59.512,62.056,64.611,64.335,63.058,69.959,73.81,76.464,73.953,79.272,85.301,89.66,93.117,93.791,97.426,99.938,102.624,109.235,90.92,75.064,67.049,57.756,49.801,40.518,35.616,32.959,29.334,29.171,26.86,21.339,21.305,20.397,16.692,13.235,9.083,6.505,4.984,4.477,4.353,5.334,5.517,5.233,4.137,3.454,3.191,3.622,4.967,6.081,4.927,3.499,2.267,1.218,0.729,0.568,0.715,0.864,1.825,2.918,3.382,3.928,3.523,2.375,1.956,1.782,1.616,1.992,2.437,2.18,2.507,1.849,0.846,0.303,2.063,2.188,3.851,2.544,3.183,1.76,2.716
29,5B031FDDX00004,56.112,57.553,57.545,58.641,64.138,64.448,66.493,64.263,77.429,79.565,81.356,81.959,92.206,95.719,88.743,101.303,96.493,107.566,111.273,99.254,88.262,84.073,65.271,58.418,48.254,41.176,37.256,37.528,31.162,29.022,27.708,19.455,18.622,19.857,15.698,13.12,9.508,6.276,5.217,4.273,4.349,4.929,5.329,5.297,4.513,3.82,3.594,3.777,4.838,5.597,4.621,3.221,1.915,1.091,0.709,0.557,0.615,0.747,1.647,2.962,3.822,4.741,4.14,2.656,2.211,1.601,1.476,1.995,2.399,2.211,2.851,1.783,0.633,0.195,1.764,2.028,4.559,3.699,2.209,1.671,2.985
30,5B031FDDX00004,55.009,57.31,57.348,60.314,62.621,65.108,68.216,72.109,73.806,78.691,76.627,83.878,81.277,92.276,97.164,104.217,107.683,104.68,98.192,99.604,86.908,77.757,71.677,58.109,47.747,40.132,37.076,33.43,28.677,27.858,23.078,23.392,18.607,18.259,15.724,12.631,9.426,6.159,5.14,4.121,4.333,4.915,5.45,5.208,4.564,3.913,3.55,3.714,4.812,5.639,4.631,3.216,1.945,1.124,0.696,0.54,0.621,0.733,1.656,2.934,3.917,4.724,4.133,2.659,2.202,1.6,1.491,1.999,2.398,2.207,2.846,1.778,0.641,0.256,1.492,2.089,4.737,3.783,2.804,1.66,2.858
31,5B031FDDX00004,54.111,56.176,55.671,61.081,63.217,63.681,67.478,68.702,72.834,74.057,82.011,82.123,86.877,95.407,104.378,103.574,110.537,104.136,106.677,103.284,87.281,78.097,62.742,53.698,45.003,39.913,35.43,33.679,30.154,28.118,25.488,21.688,21.178,16.717,16.419,13.351,9.265,6.086,5.171,4.128,4.224,4.823,5.452,5.253,4.626,3.903,3.588,3.676,4.766,5.553,4.562,3.21,1.894,1.1,0.694,0.552,0.634,0.717,1.616,2.928,3.947,4.665,4.124,2.644,2.195,1.59,1.511,2.032,2.359,2.174,2.779,1.758,0.631,0.268,1.516,2.129,4.751,3.708,2.825,1.659,2.888
32,5B031FDDX00004,54.537,57.734,55.317,60.128,64.49,63.603,65.697,70.625,72.025,71.487,82.383,82.153,87.801,99.715,101.357,99.281,100.271,115.157,105.383,103.845,92.161,80.528,63.932,58.23,48.279,43.001,35.26,31.947,31.558,30.694,26.33,21.77,20.712,20.127,16.448,12.468,8.923,6.051,5.222,3.999,4.191,4.833,5.291,5.297,4.434,3.915,3.53,3.711,4.77,5.593,4.629,3.237,1.916,1.047,0.719,0.554,0.623,0.668,1.59,2.949,3.893,4.652,4.092,2.637,2.196,1.599,1.504,2.023,2.377,2.155,2.805,1.748,0.667,0.262,1.652,2.095,4.744,3.648,2.759,1.694,3.005
33,5B031FDDX00004,56.136,58.253,55.408,60.482,63.543,65.685,68.217,73.574,72.056,80.768,88.248,81.806,91.086,86.41,99.34,109.315,101.017,100.304,108.965,102.468,93.417,74.364,65.438,55.171,45.42,41.364,38.212,31.943,30.622,28.862,24.078,19.566,21.092,18.053,17.087,13.223,8.965,6.225,5.227,4.126,4.182,4.84,5.522,5.377,4.626,3.922,3.564,3.737,4.747,5.534,4.628,3.273,1.903,1.058,0.714,0.55,0.62,0.695,1.614,2.875,3.812,4.621,4.141,2.634,2.188,1.596,1.533,2.031,2.363,2.081,2.795,1.72,0.634,0.282,1.778,2.118,4.822,3.633,2.99,1.722,2.878
34,5B031FDDX00004,53.61,58.238,55.441,59.121,63.944,66.485,66.646,69.001,76.067,78.16,76.173,81.084,89.333,95.788,100.112,111.564,101.1,104.958,103.913,101.925,88.101,79.194,63.161,57.015,46.448,41.029,38.977,31.468,29.187,26.799,25.791,22.194,20.94,17.694,15.214,13.014,9.377,6.435,5.297,4.106,4.325,4.852,5.687,5.492,4.653,3.902,3.597,3.681,4.736,5.581,4.697,3.212,1.924,1.081,0.696,0.552,0.622,0.685,1.675,2.888,3.861,4.652,4.12,2.648,2.195,1.595,1.523,2.041,2.309,2.161,2.77,1.764,0.638,0.281,1.519,2.109,4.802,3.687,2.756,1.732,2.858
