,0,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509
phase,dut_id,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd
17,5B031FDDX00004,31.064,31.705,31.961,32.193,32.616,33.263,33.959,34.84,35.992,37.497,37.716,39.742,41.523,43.449,43.653,44.548,44.575,42.958,41.411,37.571,34.171,29.91,25.523,21.479,16.83,13.079,11.245,9.771,8.53,7.51,6.714,6.138,6.216,6.26,6.114,6.291,6.45,6.411,6.424,6.59,6.814,7.072,6.7,6.862,7.214,7.268,7.31,7.648,8.744,7.94,6.326,5.017,4.153,3.79,3.566,3.517,3.038,1.957,1.135,0.803,0.564,0.536,0.542,0.618,1.031,1.248,2.31,2.369,2.354,2.036,1.556,1.826,1.298,0.977,1.215,1.187,0.675,0.551,0.13,0.24,0.417
18,5B031FDDX00004,31.319,31.015,30.941,31.905,32.019,32.661,33.449,34.209,35.539,36.799,37.892,39.04,40.791,42.284,43.659,43.931,43.666,42.865,40.451,36.818,33.822,29.925,25.484,21.407,16.556,12.964,11.028,9.45,8.599,7.596,6.868,6.226,6.06,5.977,6.064,6.173,6.324,6.427,6.554,6.92,6.996,6.967,6.636,6.768,7.203,6.976,7.246,8.011,9.14,8.315,6.484,5.061,3.997,3.76,3.505,3.552,3.122,1.754,0.988,0.66,0.477,0.468,0.44,0.566,0.97,1.355,2.1,1.914,1.882,1.777,1.599,1.736,1.281,1.012,0.938,0.928,0.567,0.482,0.079,0.283,0.379
19,5B031FDDX00004,31.106,30.709,30.992,31.562,31.905,32.511,33.37,34.114,35.067,36.614,37.928,39.259,40.809,42.498,43.692,44.238,43.634,42.818,40.408,36.973,33.673,30.048,25.272,21.496,16.524,12.935,10.905,9.446,8.539,7.536,6.731,6.26,6.056,6.007,6.068,6.171,6.244,6.396,6.516,6.788,7.026,6.916,6.585,6.705,7.147,6.993,7.205,7.936,9.09,8.252,6.43,5.014,3.971,3.724,3.474,3.525,3.097,1.745,0.983,0.657,0.473,0.465,0.439,0.563,0.959,1.345,2.077,1.885,1.855,1.758,1.579,1.719,1.271,0.99,0.922,0.932,0.582,0.493,0.104,0.285,0.347
20,5B031FDDX00004,30.703,30.547,30.969,31.276,32.27,32.527,33.037,34.301,35.414,36.534,37.558,39.018,40.741,42.417,43.464,44.084,43.975,42.643,40.328,36.8,33.791,30.108,25.323,21.312,16.479,12.87,10.773,9.351,8.511,7.473,6.634,6.12,6.097,5.933,5.977,6.242,6.264,6.339,6.52,6.773,6.968,6.9,6.526,6.693,7.146,6.964,7.183,7.887,9.022,8.194,6.382,4.974,3.953,3.711,3.454,3.502,3.076,1.74,0.982,0.657,0.474,0.463,0.437,0.558,0.953,1.337,2.067,1.861,1.828,1.747,1.577,1.708,1.278,0.967,0.902,0.934,0.592,0.495,0.083,0.271,0.327
21,5B031FDDX00004,30.696,30.134,31.294,31.343,31.552,32.273,33.032,34.135,34.978,36.279,37.637,39.227,40.71,42.669,43.327,43.921,43.797,42.806,40.282,36.859,33.776,30.092,25.218,21.362,16.51,12.786,10.974,9.421,8.39,7.435,6.696,6.097,5.96,5.935,6.031,6.176,6.288,6.359,6.472,6.757,7.032,6.893,6.534,6.688,7.096,6.978,7.151,7.923,9.028,8.229,6.406,4.989,3.948,3.709,3.453,3.508,3.084,1.743,0.982,0.656,0.473,0.464,0.438,0.559,0.951,1.337,2.061,1.861,1.824,1.743,1.568,1.698,1.278,0.985,0.929,0.934,0.591,0.484,0.081,0.271,0.349
22,5B031FDDX00004,30.755,30.753,30.994,31.058,31.658,32.261,33.052,33.978,35.251,36.193,37.772,38.973,40.625,42.371,43.863,43.862,43.913,42.851,40.169,36.795,33.729,29.97,25.152,21.333,16.416,12.794,10.724,9.288,8.485,7.334,6.648,6.058,5.958,5.858,6.042,6.199,6.212,6.375,6.447,6.638,6.958,6.853,6.481,6.658,7.078,6.909,7.138,7.877,9.002,8.16,6.393,4.971,3.952,3.694,3.442,3.494,3.072,1.737,0.982,0.655,0.472,0.464,0.438,0.557,0.945,1.331,2.049,1.845,1.813,1.727,1.553,1.677,1.268,0.983,0.906,0.943,0.559,0.454,0.105,0.276,0.324
23,5B031FDDX00004,30.923,30.977,31.017,31.459,31.579,32.287,33.295,34.138,35.25,36.302,37.802,39.018,40.969,42.549,43.455,44.073,44.012,43.041,40.816,36.441,33.804,30.019,25.135,21.318,16.455,12.762,10.75,9.331,8.357,7.322,6.493,6.083,5.921,5.879,6.017,6.128,6.305,6.316,6.457,6.719,6.985,6.85,6.489,6.66,7.034,6.895,7.116,7.836,8.958,8.14,6.377,4.961,3.942,3.687,3.437,3.48,3.067,1.735,0.982,0.656,0.471,0.462,0.437,0.555,0.941,1.328,2.042,1.836,1.801,1.732,1.554,1.677,1.284,0.976,0.912,0.93,0.591,0.486,0.087,0.272,0.34
24,5B031FDDX00004,31.185,32.003,31.991,32.06,32.78,33.871,34.539,35.192,35.722,36.752,38.693,40.568,41.367,43.584,44.123,45.045,45.234,43.984,41.503,37.746,34.568,30.265,25.268,21.84,16.912,13.41,11.226,9.822,8.795,7.557,6.756,6.096,6.09,6.089,6.013,6.147,6.354,6.309,6.291,6.446,6.861,7.115,6.777,6.735,6.843,6.869,6.817,7.653,8.565,8.26,6.517,5.019,4.027,3.634,3.563,3.437,3.151,2.008,1.119,0.713,0.527,0.489,0.511,0.582,1.055,1.432,2.132,2.398,2.088,1.953,1.576,1.864,1.253,0.82,1.158,1.08,0.681,0.603,0.117,0.255,0.368
25,5B031FDDX00004,31.668,31.456,31.779,32.467,32.698,33.317,34.321,34.614,35.835,37.185,38.607,40.077,42.505,44.115,44.961,44.906,44.945,44.239,41.722,37.679,34.359,30.244,25.576,21.788,16.885,13.253,11.32,9.732,8.671,7.581,6.742,6.021,6.138,6.141,6.069,6.2,6.251,6.316,6.241,6.381,6.798,7.14,6.814,6.78,6.845,6.832,6.869,7.641,8.554,8.316,6.502,4.979,4.034,3.614,3.532,3.41,3.143,2.024,1.118,0.713,0.524,0.486,0.51,0.579,1.045,1.43,2.125,2.392,2.075,1.942,1.553,1.87,1.266,0.821,1.163,1.073,0.7,0.595,0.103,0.252,0.39
26,5B031FDDX00004,31.644,31.006,32.112,32.764,33.132,33.504,34.367,34.972,35.91,37.177,39.263,40.393,41.858,43.781,44.621,45.073,44.649,44.144,41.461,37.983,34.43,30.579,25.275,21.664,16.939,13.32,11.16,9.677,8.728,7.688,6.772,6.068,6.131,6.161,6.057,6.199,6.353,6.314,6.231,6.372,6.74,7.071,6.697,6.721,6.844,6.89,6.793,7.627,8.491,8.246,6.454,5.023,4.014,3.621,3.57,3.416,3.159,2.006,1.12,0.715,0.526,0.487,0.514,0.58,1.047,1.428,2.113,2.394,2.071,1.945,1.539,1.858,1.271,0.825,1.162,1.056,0.699,0.596,0.118,0.264,0.37
