,0,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654
phase,dut_id,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn
24,5B031FDDX00004,66.652,63.312,61.094,58.948,56.711,54.353,52.112,48.29,45.921,42.112,39.333,36.252,33.606,30.768,27.63,23.126,14.028,3.621,1.777,1.658,1.548,1.447,1.339,1.217,1.129,1.021,0.944,0.851,0.738,0.658,0.593,0.561,0.501,0.48,0.485,0.462,0.49,0.431,0.458,0.457,0.426,0.456,0.47,0.466,0.493,0.493
25,5B031FDDX00004,66.72,63.373,61.122,58.97,56.757,54.349,52.019,48.279,45.9,42.136,39.362,36.331,33.647,30.814,27.681,23.177,14.075,3.616,1.778,1.682,1.555,1.446,1.325,1.226,1.128,1.02,0.929,0.838,0.742,0.656,0.598,0.555,0.501,0.483,0.481,0.464,0.492,0.422,0.479,0.474,0.444,0.479,0.471,0.493,0.493,0.509
26,5B031FDDX00004,66.767,63.402,61.211,58.982,56.738,54.421,52.05,48.405,45.922,42.167,39.327,36.422,33.657,30.917,27.716,23.229,14.076,3.608,1.782,1.659,1.556,1.44,1.331,1.224,1.124,1.026,0.925,0.845,0.737,0.7,0.599,0.564,0.508,0.487,0.485,0.471,0.453,0.428,0.486,0.468,0.435,0.464,0.471,0.465,0.504,0.504
27,5B031FDDX00004,66.796,63.414,61.173,59.08,56.927,54.436,52.106,48.387,46.003,42.187,39.421,36.415,33.701,30.86,27.721,23.221,14.129,3.596,1.773,1.656,1.542,1.448,1.325,1.221,1.121,1.025,0.93,0.844,0.733,0.672,0.594,0.559,0.507,0.486,0.479,0.489,0.451,0.456,0.509,0.461,0.458,0.482,0.478,0.483,0.519,0.521
28,5B031FDDX00004,66.776,63.462,61.269,59.043,56.833,54.527,52.072,48.485,46.028,42.318,39.398,36.529,33.726,30.955,27.773,23.325,14.189,3.666,1.763,1.658,1.557,1.452,1.357,1.272,1.123,1.024,0.928,0.838,0.739,0.653,0.598,0.557,0.503,0.481,0.475,0.465,0.444,0.427,0.464,0.466,0.43,0.457,0.472,0.477,0.491,0.494
29,5B031FDDX00004,75.227,71.727,69.308,66.923,64.514,61.766,59.443,55.72,53.224,49.467,46.686,43.661,40.914,38.118,35.023,30.742,22.579,12.804,1.799,1.673,1.568,1.449,1.325,1.216,1.109,0.994,0.891,0.801,0.691,0.611,0.544,0.511,0.458,0.454,0.477,0.478,0.467,0.456,0.492,0.524,0.501,0.541,0.552,0.55,0.559,0.553
30,5B031FDDX00004,75.196,71.731,69.242,66.968,64.708,62.034,59.484,55.792,53.325,49.631,46.79,43.816,40.891,38.163,35.043,30.788,22.642,12.866,1.8,1.677,1.578,1.454,1.329,1.208,1.104,0.987,0.892,0.795,0.698,0.761,0.557,0.511,0.462,0.466,0.471,0.472,0.464,0.45,0.491,0.516,0.541,0.556,0.56,0.594,0.566,0.555
31,5B031FDDX00004,75.229,71.679,69.255,66.886,64.544,61.95,59.603,55.804,53.253,49.537,46.682,43.708,40.889,38.216,35.053,30.843,22.603,12.9,1.794,1.678,1.573,1.457,1.345,1.209,1.106,0.986,0.9,0.797,0.7,0.605,0.55,0.505,0.455,0.448,0.47,0.472,0.462,0.455,0.495,0.503,0.504,0.534,0.553,0.546,0.638,0.585
32,5B031FDDX00004,75.317,71.767,69.242,66.919,64.572,61.929,59.427,55.708,53.26,49.5,46.72,43.673,40.933,38.149,35.08,30.773,22.593,12.807,1.801,1.669,1.565,1.449,1.334,1.219,1.11,0.983,0.896,0.802,0.708,0.614,0.546,0.5,0.454,0.451,0.467,0.464,0.462,0.448,0.491,0.509,0.503,0.542,0.552,0.553,0.557,0.549
33,5B031FDDX00004,75.152,71.665,69.298,66.935,64.542,61.976,59.528,55.819,53.484,49.568,46.796,43.741,41.016,38.22,35.13,30.837,22.633,12.881,1.803,1.697,1.57,1.468,1.327,1.203,1.099,0.99,0.889,0.799,0.684,0.613,0.544,0.512,0.464,0.446,0.47,0.471,0.46,0.45,0.497,0.503,0.504,0.549,0.552,0.551,0.559,0.552
34,5B031FDDX00004,75.208,71.726,69.394,67.156,64.664,62.142,59.59,55.895,53.362,49.641,46.898,43.82,41.054,38.294,35.138,30.898,22.623,12.939,1.797,1.693,1.574,1.496,1.327,1.221,1.115,1.005,0.901,0.842,0.815,0.627,0.554,0.511,0.456,0.445,0.495,0.512,0.462,0.455,0.528,0.536,0.511,0.544,0.556,0.558,0.593,0.558
